question_clean	options_formatted	correct_letter
Madam AB is diagnosed with cervical carcinoma in situ. The following are treatment options EXCEPT	A. Watchful waiting | B. Simple hysterectomy | C. Laser ablation | D. Cryosurgery | E. Loop excision	A
Which of the following is true with regards to staging of cervical cancer?	A. Staging of cervical cancer is essentially surgico-pathological | B. Stage IIIC1 cervical cancer involves the pelvic lymph nodes | C. Stage IIIA involves the lower two-thirds of the vagina | D. Stage IAI refers to stromal invasion less than 5mm | E. Stage IB2 is invasive carcinoma between 3cm and 5cm	B
The transformation zone refers to	A. The mature squamous metaplasia | B. The mature squamous metaplasia | C. The new squamo-columnar junction | D. The transition between the old and new squamo-columnar junction | E. The cervical ectropion	D
HPV 18 is the most oncogenic	A. HPV 18 is the most oncogenic | B. HPV 16 and 18 account for approximately 90% of cervical cancers | C. HPV 6 and 11 account for 90% of genital warts | D. Only 20% of HPV infections will result in the development of CIN 2 or 3 lesions within 3 years of infection | E. Almost three-quarter of all cervical cancers are attributable to HPV 16	C
The following statements IS NOT true concerning risks and benefits associated with trial of labour after prior CS (TOLAC)	A. The risk of uterine rupture during a TOLAC is high (greater than 5%) B | B. . TOLAC is most safely undertaken where staff can immediately provide an emergency caesarean but recognizes that such resources may not be universally available | C. Most maternal injury that occurs during a TOLAC happens when a repeat caesarean becomes necessary after the TOLAC fails | D. A vaginal birth after TOLAC, avoids major abdominal surgery, lowers a woman's risk of hemorrhage and infection, and shortens postpartum recovery | E. Successful vaginal births after TOLAC helps to reduce overall caesarean section rates	A
The following statements concerning options for delivery after one prior C/S are true EXCEPT	A. A prior classical uterine incision is a relative contraindication | B. Either vaginal birth or elective repeat caesarean section are reasonable options | C. Around 50% of women with one previous caesarean section attempt a vaginal birth in their second pregnancy, and of these nearly two thirds are successful | D. Pregnancy complications might alter the risks and benefits of each delivery strategy (vaginal delivery or elective repeat C/S) | E. The weight of the baby in the current pregnancy is considered	A
Pre-Implantation Genetic Testing (PGT).	A. Has significantly decreased the cost of IVF | B. Enhances pregnancy rates in intrauterine insemination (IUI) cycles. | C. Day-3 single blastomere biopsy is the recommended biopsy technique | D. Can be used to select embryos with highest chance of implantation. | E. Is contraindicated in ICSI fertility IVF Cycles	D
The following are risk factors for Ovarian Hyperstimulation Syndrome (OHSS) EXCEPT	A. Obesity | B. AMH >50g ml | C. Previous history of OHSS | D. Estradiol levels >4000pg/ml on day of HCG trigger | E. Low Body Mass Index (BMI)	A
Which of the following is MOST important in the pathogenesis of Ovarian Hyperstimulation syndrome (OHSS)?	A. Prostaglandin F-d | B. Inhibin | C. Activin | D. Vascular Endothelial Growth Factor (VEGF) | E. Interleukin-6 (Pi * 6)	D
Tests of Ovarian Reserve is indicated in	A. Women 35 years who have not conceived after 12 months of regular unprotected intercourse. | B. Women 35 years with history of Endometriosis | C. Infertile women diagnosed with polycystic ovary syndrome (PCOS) | D. Young women with history of syndromic baby. | E. Women with recurrent pregnancy loss,	B
Anti-Mullerian Hormone (AMH) is secreted by	A. The Theca cells of the ovary | B. The granulosa cells of the ovary. | C. The basal cells of the endometrium | D. The Liver | E. The corpus Luteum.	B
. Invasive mole	A. It occurs in 30% of patients who have undergone evacuation of a molar pregnancy | B. It occurs in 3% of patients who have undergone evacuation of a molar pregnancy | C. It occurs in 1% of patients who have undergone evacuation of a molar pregnancy | D. The microscopic findings are similar to that of choriocarcinoma | E. The microscopic findings are similar to that of a hydatidiform mole	E
The incidence of Gestational Trophoblastic Disease	A. . in West Africa is between 0.87 to 4.88 per 1000 deliveries | B. in West Africa is between 0.6 to 11 per 1000 deliveries | C. Is higher in Europe than in Japan | D. Is higher in North America than in Japan | E. Is the same in Japan and Europe	A
Concerning Gestational Trophoblastic Neoplasm	A. Methotrexate is the only single agent that can be used for treatment | B. Etoposide may be used as a single agent | C. Cisplastin may be used as a single agent | D. Methotrexate and Actinomycin D can be used as single agents | E. Radiation therapy and surgery are not use for treatment	D
Choriocarcinoma	A. Usually presents as early vaginal bleeding in the postpartum period | B. Histology shows a background of haemorrhage and necrosis with villi | C. It may follow any type of pregnancy | D. Histology reveals absence of intermediate trophoblast | E. Usually spread to the lungs and vagina only	C
Absence of fetal tissues	A. Absence of fetal tissues | B. Presence of fetal tissues with or without malformations | C. Presence of fetal tissues with or without malformations | D. Focal hydropic change to villi | E. E Focal trophoblastic proliferation	A
Risk factors for Postpartum haemorrhage	A. Second stage lasting three hours with an epidural | B. BMI of 30kg/m2 | C. Maternal age of 16 years | D. haemoglobin level of 9,8g/dl at the onset of labour | E. Bicornuate uterus	E
Physiologic management of the third stage of labour	A. Is associated with a reduced risk of blood loss of I litre | B. is associated with a reduced probability of blood transfusion | C. Is associated with a nausea and vomiting in 50% of patients | D. Increases the duration of the third stage | E. Routinely uses uterotonics	E
The commonest cause of non-engagement of head at term in a primiparous woman is	A. Cephalopelvic disproportion | B. Polyhydrammios | C. Brow presentation | D. Placenta previa | E. uterine fibroids	A
A Woman delivered in midwifery led units have higher rates of	A. Episiotomy | B. Vaginal delivery | C. Caesarean section | D. . Their babies having serious medical problems | E. Sphincter injuries	B
The modified Bishop Score	A. 4 | B. 5 | C. 6 | D. 7 | E. 8	E
The most important drug to be given at this time is	A. Labetalol | B. Erythromycin | C. Metronidazole | D. Paracetamol | E. Magnesium Sulphate	E
In the emergency triage colour scheme, the patient is triaged as	A. Red | B. Orange | C. Yellow | D. Green | E. Blue	B
A 34 year old client, G 1 PO with a EGA of 38 weeks 5 days reports to the emergency unit with a 2 hour history of watery vaginal discharge She is not pale or jaundiced and afebrile Her blood pressure is 150/110 mmHg and the pulse in 70 bpm. Her temperature is 36.7°C There is no headache, epigastric pain or vomiting. The symphysiofundal height is 36 cm. presentation is cephalic and the foetal heart rate is 138 bpm. No contractions are palpated. Sterile speculum examination reveals clear liquor draining from the cervical as which is 2 cm dilated, central, soft and fully effaced Station is-2 (For questions 8 to 11)  8. The following test is NOT urgent at this time	A. n/a | B. Liver function tests | C. Urinalysis | D. Endocervical swab for culture and sensitivity | E. C-Reactive protein	E
Mrs. A. E. G 6 P 5 delivers a 4.2 kg male baby at 38 weeks gestation by spontaneous vaginal delivery. The blood loss at her delivery is estimated to be 1200 mls. She is still bleeding. Which of the following is preferred for her resuscitation?	A. Colloid solutions and ephedrine | B. Crystalloid and ephedrine | C. Colloid solutions and blood | D. crystalloids and blood | E. None of the above	D
In the management of obstetric haemorrhage, one of the most important vital signs to be monitored is	A. Hemoglobin level | B. BP | C. O2 SAT | D. HB | E. urine output	E
Commonest cause of maternal mortality in massive blood loss is	A. Acute kidney injury | B. Noonan's syndrome | C. inadequate blood transfusion | D. Inadequate fluid resuscitation | E. Inadequate hemodynamic monitoring	D
Which of the following conditions can result in significant consumptive coagulation?	A. Abruptio placentae | B. Amniotic fluid embolism | C. Pre Eclampsia with severe features | D. Gram-negative bacterial sepsis | E. All of the above	A
The earliest indicator of significant blood loss is	A. Tachycardia | B. Tachypnea | C. Hypotension | D. Dizziness | E. Confusion	B
In pregnant women, group B streptococcus is associated with which of the following issues?	"A. A.	Increased caesarean Section Rate | B. B.	Symptomatic bacteriuria | C. C.	Urinary tract infection | D. D.	Post datism | E. E.	Pneumonia"	C
"1.	The decision to transfuse blood in pregnancy should exclude consideration of the"	A. Stage of pregnancy | B. Evidence of cardiac failure | C. Haemoglobin level | D. Evidence of Sheehan's syndrome | E. Presence of acute infections	D
Which of the following treatment modifications should be made in a pregnant patient?	A. Patients should be positioned with left lateral tilt (right side elevated) to alleviatecompression on the inferior vena cava during chest compressions in CPR. | B. Because of the risk of fetal harm, tetanus toxoid should be avoided. | C. Chest tube should be placed in 2 cm higher than in non-pregnant patients, thoughshould remain in the anterior axillary line. | D. Diagnostic peritoneal lavage should be performed with a suprapubic entry point | E. All of the above	C
Golden coloured amniotic fluid is found in which of the following condition	A. Rhesus Incompatibitlity | B. Fetal distress | C. Post maturity | D. IUFD | E. Normal pregnancy	A
Non-immune hydrops is caused by which of the following haemoglobinopathies	A. Beta thalassemia minor | B. Beta thalasemia major | C. Alpha thalasemia minor | D. Alpha thalasemia major | E. HBSS disease	D
The term fetus is used at what gestational age in pregnancy:	A. Between 0-2 weeks | B. Between 0-4 weeks | C. After 9 weeks | D. After 13 weeks | E. Between 2-8 weeks	C
Factors that may contribute to the formation of vesico-vaginal fistula include all of the following except	A. Obstructed labor | B. Pelvic radiation | C. Tribal “gishiri” cuts to the vaginal | D. HIV infection | E. Hysterectomy	E
The most common ovarian neoplasm in pregnancy is:	A. papillary serous adenocarcinoma | B. Embryonal carcinoma | C. Dysgerminoma | D. Benign cystic teratoma | E. Corpus luteum cyst	D
Absolute indications for caesarean section are	A. HIV in pregnancy | B. Elderly primigravida | C. Eclampsia | D. Abruptio placenta | E. none of the above	E
As regards OHA	A. They cross placenta barrier | B. Glyburide is associated with weight gain in pregnancy unlike Metformin | C. Glyburide is not used in first trimester | D. Metformin reduces mitochondria respiration which makes it teratogenic | E. Hypoglcemia is a common side effect in the 2 groups	A,B,C
Concerning PCOS	A. It is characterized by elevated FSH: LH ratio | B. Associated with galactorrhoea | C. Associated with insulin resistance syndrome | D. Can be treated with a Biguanide | E. It is familial	C,D,E
The risk factors for gestational diabetes:	A. Increasing maternal age | B. High parity | C. Previous small for date baby | D. Previous unexplained still birth | E. BMI >30	D,E
Indications for elective cervical cerclage	A. Three spontaneous first – trimester abortions | B. Spontaneous twin conception | C. Three second – trimester pregnancy losses without evidence of labour or abruption | D. History of loop electrosurgical excision procedure for cervical dysplasia | E. Cervical length of 15 mm by ultrasound at 14 weeks	C,D,E
Heavy but regular period is a likely feature of which of the following condition	A. Subserous uterine fibroids | B. Bartholin’s cyst | C. Dysfunctional uterine bleeding | D. Myxoedema | E. Diabetes mellitus	D
The following may cause intrauterine death of the fetus	A. Diabetes mellitus | B. Ventricular septal defect | C. Hydrops fetalis | D. A sudden emotional shock to the mother | E. Polyhydramnious	A,C
Episiotomy tear that involves only the vaginal mucosa and perineal muscles:	A. First degree | B. Second degree | C. Third degree | D. Fourth degree | E. Fifth degree	B
Which of the following is/are correct concerning diabetes and pregnancy?	A. Diabetes mellitus is the commonest pre-existing medical condition of pregnancy | B. Outcomes are equally poor in type 1 diabetes and type 2 diabetes | C. Optimal glycaemic control during conception and the first trimester can reduce rates of fetal          major congenital anomalies in women with pre-gestational diabetes | D. Macrosomia is a possible complication | E. Fetal growth restriction is a possible complication	C,D,E
Which of the following drugs should be discontinued during pregnancy?	A. Low dose Aspirin | B. Bisoprolol | C. Atenolol | D. Angiotensin Converting Enzyme Inhibitors (ACEI) | E. Frusemide	D,E
A woman presents to clinic with a blood pressure of 165/112 mmHg (confirmed by repeat measurement after at least 15 minutes), at 28 weeks’ gestation. Which of the following management approaches is true?	A. This woman can be seen in hospital the next day | B. This woman should receive antihypertensive therapy | C. This woman may have pre-eclampsia even if she has no proteinuria | D. This woman may have pre-eclampsia even if she has no symptoms | E. Anxiolytic is adequate for her	B,C,D
The following invasive diagnostic procedures can be used in the first trimester	A. Amniocentesis | B. Cordocentesis | C. Chorionic villous sampling | D. Fetal skin sampling | E. Fetoscopy	C
Soft markers for aneuploidy screening in the second trimester	A. Reduced BPD | B. Choroid plexus cyst | C. Long femur | D. Fetal bradycardia | E. Small Abdominal Circumference	B
Anterpatum haemorrhage	A. Is defined as bleeding from the genital tract in pregnancy | B. May be complicated by hypofibrinogenaemia | C. Requires assessment by vaginal examination | D. May be caused by cervical carcinoma | E. Can be a warning bleeding	B,D,E
Coagulation failure is an important common complication of:	A. Placenta praevia | B. Abruptio placentae | C. Amniotic fluid embolus | D. Gram-negative septicaemia | E. Uterine rupture	B,C,D
In eclampsia:   (T)   (F)   (F)   (T)   (F)	A. Large doses of intravenous sedation are given | B. Caesarean section must be performed whether the fetus is dead or alive | C. Hypotensive drugs should not be used | D. Ergometrine should be avoided in the third stage of labour | E. Urinary output is increased	A,D
Breastfeeding has the following advantages over bottle feeding:	A. Human milk contains more protein | B. Human milk contains more carbohydrate | C. There is a lower incidence of cot death in breastfed infants | D. There is a lower incidence of atopic conditions in breastfed infants | E. It needs to be given less frequently	B,C,D
The following organisms are recognized causes of puerperal pelvic sepsis:	A. Escherichia coli | B. Haemolytic streptoccocus group A | C. Haemophilus influenza | D. Clostridium welchii | E. Staphylococcus aureus	A,B,D,E
The following predispose to fetal hypoxaemia in labour:	A. The supine position | B. Pre-eclampsia | C. Renal disease | D. Lupus erythematosus | E. Pethidine administration	A,B,C,D
Obstructed labour:	A. Always develops before full dilatation of the cervix | B. Can usually be predicted before the onset of labour | C. Is more common in developed countries | D. Is inevitable in a term fetus with persistent mento-posterior position | E. Can often be overcome by means of craniotomy if the fetus is dead	D,E
The following predispose to primary postpartum haemorrhage:	A. Administration of prolonged or deep anaesthesia to the mother | B. Twin pregnancy | C. Oligohydramnios | D. Prolonged labour caused by mechanical difficulty | E. Hyperemesis gravidarum	A,B,D
Active management of the third stage:	A. Involves the Matthews-Duncan methods | B. May involve intravenous syntocinon | C. Increases the risk that a manual removal will be needed | D. Increases the likelihood of postpartum haemorrhage | E. Begins with delivery of the fetal trunk	B,C
Symptoms and signs of the onset of labour include:	A. Braxton-hicks contractions | B. Absent fetal movement | C. Shortening of the cervix | D. Dilatation of the cervix | E. Spinnbarkeit	C,D
The fetal head:	A. Engages by the mento-vertical diameter in face presentations | B. When engaged, usually presents with the suboccipito-bregmatic diameter | C. Contains an anterior fontanelle immediately behind the bregma | D. Has one occipital and two frontal bones | E. May be felt abdominally after engagement has taken place	B,D,E
In iron deficiency anaemia in pregnancy:	A. The mean corpuscular haemoglobin content (MCH) and the mean corpuscular haemoglobin concentration (MCH are both low | B. The mean corpuscular volume (MCV) is raised | C. Blood transfusion is indicated if haemoglobin levels fall to below 9.0 g/Dl | D. There is usually a chronic blood loss causing the anaemia | E. There is an increased risk of pre-eclampsia	A
Anaemia in pregnancy:	A. Is defined as a haemoglobin concentration of 10.0 g/dL or less | B. May be caused by haemodilution of pregnancy | C. May be caused by hookworm infestation | D. When megaloblastic is usually due to vitamin B12 deficiency | E. Is relatively common in multiple pregnancy	B,C,E
Antenatal care:	A. Has been shown categorically to improve pregnancy outcome | B. Is essentially a screening process | C. Works independently of antenatal education | D. Unbooked pregnancies have the worst outcome | E. The key to good care is history-taking	B,D,E
Biophysical profile:	A. Is a reflection of fetal well-being assessed by Doppler | B. Is scored out of 12 | C. Amniotic fluid volume is one of the variables included | D. The presence of breathing movements is a poor sign | E. Has a lower false-negative rate for fetal hypoxaemia than CTGs	C
Normal cardiotocograms (CTGs):	A. The baseline at term is usually 120 – 160 beats/minute | B. The short-term variability is 10 – 25 beats/ minute | C. An acceleration is a baseline increase of 15 beats/minute for 15 seconds | D. A reactive trace would have one acceleration in 20 minutes | E. The tocograph trace indicates the strength of contractions	A,B,C
In the fetal circulation:	A. Oxygenated blood travels along the umbilical arteries | B. The fetal lungs are bypassed by means of the ductus venosus | C. The foramen ovale connects the two atria | D. Most of the blood that enters the right atrium flows into the left atrium | E. The blood in the descending aorta is more desaturated than that in the ascending aorta	C,D,E
Fibroids in pregnancy:	A. Are a recognized cause of obstructed labour | B. Should be removed by myomectomy during pregnancy | C. Should be removed by myomectomy at caesarean section | D. Are likely to regress after the pregnancy | E. May cause acute abdominal pain	E
During normal pregnancy:	A. Estradiol is the principal circulating oestrogen | B. The blood pressure falls in the second trimester | C. Blood flow to the liver and kidneys increases by over 25% | D. The pressure of the uterus on the diaphragm reduces the tidal volume and causes dyspnoea | E. The ureters dilate due to obstruction and increased intraluminal pressure	B
Maternal haematological changes:	A. The red cell mass decreases | B. The haemoglobin concentration and white cell count decrease | C. The erythrocyte sedimentation rate increases | D. The stroke volume increases | E. The peripheral resistance and mean arterial pressure decrease	C,D,E
Maternal blood flow to the placenta:	A. Reaches about 100 mL per minute by the end of pregnancy | B. Is affected by posture | C. Is completely obstructed during the peak of strong contractions | D. Is reduced in pre-eclampsia | E. Is increased by inspiration of 100% oxygen	A,B,C,D
Perinatal mortality:\	A. Includes all stillbirths | B. Includes all neonatal deaths in the first month of life | C. Is increased in social classes 4 and 5 | D. Is higher for mothers aged under 20 years than for those over 35 years | E. The perinatal mortality rate is around 1 per 1000 total births	A,C
The components of biophysical profile	A. Amniotic fluid volume | B. Fetal breathing movement | C. Fetal body movement | D. Fetal biometric measurement | E. Fetal heart reactivity	A,B,C,E
Which medications(s) may be associated with an increased rate of congenital cardiovascular malformations?	A. Fluoxetine | B. Sertraline | C. Penicillin | D. Aspirin | E. Clomiphene citrate	A,B
The following are absolute contraindication to invasive testing	A. Anticoagulants treatment | B. Maternal alloimmunization e.g Rh Neg women | C. Human immunodeficiency virus (HIV) | D. Spotting PV | E. Placenta previa	A
Maternal mortality:	A. Now stands at the rate of less than 0.1 per 1000 total births | B. Does not include deaths from therapeutic abortion | C. Must be reported to the coroner | D. Is subjected to a confidential Enquiry | E. Is most often caused by sepsis	A,D
Gravidity and parity:	A. Gravidity records the total number of pregnancies excluding the current one | B. Parity refers to the number of live births and stillbirths after 24 weeks | C. A pregnant woman with a previous 10-week termination would be G2 P0-1 | D. A pregnant woman could be G2 P3 | E. Are not really clinically relevant	C,D
The following association are appropriate:	A. Lie: cephalic | B. Presentation: flexed | C. Station: at the level of the spines | D. Engagement: two-fifths palpable | E. Presenting part: shoulder	C,D,E
The following are absolute contraindications to use of the combined oral contraceptive:	A. Varicose veins | B. A previous history of viral hepatitis | C. A prosthetic heart valve | D. Diabetes mellitus | E. Carcinoma in situ of the cervix	C
Dilatation and curettage (D & C)	A. Should be carried out in all patients with menorrhagia | B. Should be carried out in all patients with postmenopausal bleeding | C. Should be recommended for all patients with breakthrough bleeding on oral contraception | D. May be helpful in the diagnosis of ectopic pregnancy | E. Is an essential investigation for subfertility	B,D
Postcoital bleeding may be a sign of:	A. Fibroids | B. Adenomatous polyps | C. Cervical ectropion | D. Dysplasia of the cervix | E. Carcinoma in situ	A,B,C
With regard to pregnancy dating:	A. The last menstrual period (LMP) is used in preference to ultrasound | B. The LMP is reliable even if cycles are irregular | C. The LMP can be used if pregnancy was due to a contraceptive pill failure | D. Breastfeeding makes LMP dating inaccurate | E. The EDD is calculated as LMP + 12 months – 3 months + 7 days	A,D,E
Carcinoma of the vulva:	A. Does not ulcerate until it is advanced | B. Is usually histologically anaplastic | C. Spreads initially to iliac nodes via vaginal lymphatics | D. Seldom involves lymph nodes at the time of presentation | E. none of the above	E
Radiotherapy for carcinoma of the cervix may cause:	A. Vesico-vaginal fistula | B. Pyometra | C. Proctitis | D. Acute salpingitis | E. Ovarian failure	A,B,C,E
Stage I cancer of the cervix:	A. Is confined to the uterus | B. May not be visible on clinical examination | C. Has a better prognosis than stage 1 cancer of the endometrium | D. May be associated with hydro-ureter on intravenous pyelogram | E. May be treated with intracavitary radiation (to provide 7000 rads at point  and external radiotherapy	A,B,E
Cervical smears:	A. Are taken with a throat swab | B. Should be placed in fixative immediately | C. Should be taken every 10 years | D. Should be followed by colposcopy if any abnormality is reported | E. Should not be taken in women under 21 years of age	B
Epithelial cell tumours:	A. Mucinuous cystadenomia is the commonest variety | B. They occur mainly in women over 40 years of age | C. Cystadenomas of the mucinous variety are the largest | D. Endometroid cystadenoma is the same as ovarian endometriosis | E. Brenner tumours may turn malignant	B,C,E
First-trimester abortion may be due to:	A. Inadequate oestrogen production | B. Chromosomal abnormality of the fetus | C. Incompetence of the internal cervical os | D. Maternal diabetes | E. Cytotoxic drugs	B,D,E
In ectopic pregnancy:	A. Bleeding precedes pain | B. Shoulder-tip pain is an important symptom | C. The isthmus of the tube is the commonest site of the implantation | D. The incidence is higher in women fitted with intrauterine devices | E. Ultrasonic scan is of no help in diagnosis	B,D
Cervical incompetence:	A. Typically causes painful abortion | B. Typically causes mid-trimester abortion | C. Is treated  by cervical cerclage which is best performed early in the second trimester | D. May be caused by hydramnios | E. May lead to premature rupture of the membranes	B,C,D,E
Septic abortion:	A. May result from exposure to gonorrhea during pregnancy | B. Is frequently due to a combination of coliforms and bacteroides | C. Is more likely to lead to septic shock than salpingitis or pelvic abscess in a non-pregnant  patient | D. Should be treated by immediate curettage of the uterus in all cases | E. Is a less common cause of maternal death in the UK than it was 20 years ago	B,C,E
Causes of first-trimester abortion include:	A. Malaria infection | B. Rubella | C. Syphilis | D. XO karyotype in the embryo | E. Trisomy 21 in the embryo	A,B,D,E
Gonadotrophin-releasing hormone (Gn RH) agonists:	A. Must be given by pump | B. Cause initial gonadotrophin release | C. Are effective in the treatment of endometriosis | D. Cause bone loss | E. Relieve menopausal hot flushes	B,C,D
Turner’s syndrome:	A. May not present until delayed puberty or infertility is diagnosed | B. May have a male phenotype | C. Is characterized by short stature, wide carrying angle and wide spaced nipples | D. Is characterized by low oestrogen levels due to primary hypopituitarism | E. The luteinizing hormone (LH) and FSH levels are usually markedly elevated	A,C,E
In Turner’s syndrome:	A. A chromosomal structure of 45XY is characteristic | B. Secondary amenorrhoea is usual | C. Coarctation of the aorta may occur | D. The ovaries are multicystic | E. Public hair is absent	C,E
Patients with the following conditions typically present with primary amenorrhoea:	A. Uterus didelphys | B. Imperforate hymen | C. Anorexia nervosa | D. Testicular feminization | E. Untreated congenital adrenal hyperplasia	B,D,E
Puberty:	A. Puberty is preceded by decreasing pulses of follicle- stimulating hormone (FSH) | B. Breast development precedes the growth spurt | C. Public hair growth precedes axillary hair growth | D. Menarche occurs between 9 and 17 years of age | E. Menstrual cycle at menarche are usually regular	C,D
Sexual differentiation:	A. Genetic sex is the same as gonadal sex | B. The presence of the second X-chromosome determines female differentiation | C. The Mullerian duct develop into the internal organs of the female | D. The SRY gene of the Y-chromosome produces testicular determining factor | E. The 45XO phenotype is female	C,D,E
Age changes in the genital tract:	A. There is increased atrophy and fat deposition in the vulva after the menopause | B. The vagina is devoid of glycogen before puberty and after the menopause | C. The ratio of cervical to uterine length decreases after the menopause | D. Remnants of the hymen after childbirth are known as carunculae myrtiformes | E. At birth, the neonatal vagina is well developed and has a low pH (< 5)	B,D,E
The support of the uterus is provided by:	A. The cardinal ligaments | B. The round ligaments | C. The utero-sacral ligaments | D. The integrity of the perineal body | E. The broad ligament	A,C
The nerve supply to the vulva is derived from:	A. The pudendal nerve | B. The ilio-inguinal nerve | C. The genitofemoral nerve | D. The Posterior cutaneous nerve of the thigh | E. The inferior haemorrhoidal nerve	A,B,C,D
During development of the genital organs:	A. The genital organs develop from the ectoderm | B. The paramesonephric duct develops to form the Mullerian system | C. The Mulleran duct divides to form the Fallopian tubes and ovaries | D. The genital tubercle forms the clitoris and labia majora | E. The number of oocytes starts to decline from before birth	B,E
Hyperandrogenism	A. Dihydrotestosterone is 100 times more potent than testosterone | B. Spironolactone can be used in its treatment | C. Associated with Excessive growth of normal Hair | D. Does not affect voice | E. Ferryman Galway’s classification is used to assess the level of hirsutism	A,B,C,E
Adenomyosis	A. Commoner in nulliparous than multi parous | B. It has a true capsule | C. Can present with secondary dysmenorrhea | D. Cure rate is 100% surgically | E. Formed by the invasion of the superficial layer of the endometrium	D,E
The Vagina	A. Is a distensible tube which contains air in the supine position | B. It is about 8cm long with anterior part longer than posterior | C. It has glands which secrete glycogen | D. It has about four fornices | E. Doderlin's bacillus breaks down glycogen to produce acid ph	A,D,E
The following are well matched	A. Prematurity and Necrotizing Entero Colitis | B. Low Birth Weight and deafness | C. Monochorionic twins and polyhydramnios | D. Ritrodine and respiratory distress | E. MgS04 and 10% calcium gluconate	A,B,C,E
Components of Manchester Repair	A. Cervical amputation | B. Lengthening of cardinal ligament | C. Anterior colporrhaphy | D. Anterior colpoperineurraphy | E. Posterior colpoperineuraphy	A,C,E
Vesico Vaginal Fistula  a. T  b.  F  c. T  d.         T  e.  F	A. Repair by vaginal approach is better than abdominal approach | B. Commonly due to CS than prolonged pregnancy | C. Vaginal sutures are placed at right angles to fistula repair | D. Catheter retention for 14 days is advisable | E. Repair is by culpoclesis	A,C,D
Breech Presentation	A. Complicates 3% of pregnancies | B. Use of forceps is contraindicated in breech delivery | C. extended neck is an indication for caesarean delivery | D. Oligohydramnios is a known cause of breech presentation | E. Polyhydramnios is recognized cause of breech	A,C,D,E
The following are signs of early pregnancy EXCEPT	A. Mastodynia | B. Hegars sign | C. Braxton Hick’s sign | D. Ladin’s sign | E. Chloasma	C
The following are derivatives of the paramesonephric duct except:	A. Oviducts | B. Uterus | C. Upper part of vaginal | D. Supra vaginal cervix | E. Cowper’s glands.	A,B,C,D
Concerning the vulva	A. The vestibule is the area between the labia minora. | B. The vestibule is perforated by the urethral and vaginal orifices and the ducts of Bartholin’s glands | C. The labia minora contain fat and many sebaceous glands | D. The lateral labial surfaces are pigmented and hairy. | E. Mons pubis is not a component	A,B,C,D,E
The following are related	"A. Mobilincusspp and Bacteria vaginosis | B. Ebstein Barr virus and	Genital wart | C. Gonorrhoea and Bartholins abscess | D. Strep hemolytic	and	HELLPS Syndrome | E. T. vaginalis and Green frothy discharge"	A,C,E
Cancer of the cervix	A. Is the leading malignancy in women worldwide | B. Direct spread is more likely than lymphatic spread | C. Hydronephrosis in the patient is compatible with Stage IIA | D. Is commoner in women with high parity | E. Simple hysterectomy alone is adequate treatment for Stage IA I	B,D
The following associations are appropriate	A. Presentation: Occipito-posterior | B. Attitude: At the level of the ischial spines | C. Station: Longitudinal | D. Engagement: Two-fifth palpable per abdomen | E. Position: Mento-vertical	D
Which of these Matches are correct?	A. Ovarian artery & Internal iliac | B. Endometrial TB  &  Caseation | C. Chlamydia infections  &  Protease inhibitors | D. Cuff salpingostomy &  Ectopic gestation | E. Buserelin & Hormone replacement therapy	A,B
Dysfunctional Uterine bleeding   F   T   T    F          F	A. Has an easily identifiable cause | B. Usually occurs in anovulatory cycles | C. Hysteroscopy can be used for diagnoses | D. Cause is mainly organic | E. It is associated with insulin resistance	B,C
Which of the following can be used for Post coital contraception?	A. Esmya (Ulipristal acetat | B. Danazol | C. Misoprostol | D. Levonorgestrel 750mg | E. Combined Oral contraceptive	A,B,D,E
Active management of third stage of labour includes	A. Immediate cord clamping and cutting of the cord without awaiting cessation of cord pulsation | B. Quick transfusion of blood in bleeding patient | C. Delivery of placenta by controlled cord traction without waiting for the signs of placenta separation | D. Delivery of the placenta and membranes by the expectant method | E. Administration of oxytocic immediately after the delivery of the baby by any route	C,E
Maternal cardiovascular haematological changes:	A. The red cell mass decreases | B. The haemoglobin concentration and white cell count decrease | C. The erythrocyte sedimentation rate increases | D. The stroke volume increases | E. The peripheral resistance and mean arterial pressure decrease	C,D,E
Medical treatment of hyperprolactinemia	A. Bromocriptine normalizes the prolactin levels within 2 months | B. Bromocriptine is given at 12.5mg nocte | C. Cabergoline given twice weekly is recommended | D. Patients with macroprolactinoma should start with a twice daily dose of bromocryptine | E. Pituitary adenoma can cause bitemporal hemianopia	A,C,E
Kallman’s syndrome is characterized by   F    T    T    T   F	A. Precocious puberty | B. Over secretion of gonadotrophin releasing hormone | C. Anosmia | D. Amenorrhoea | E. Genital hypertrophy	B,C,D
Intrahepatic Cholestasis of pregnancy	A. Is associated with Obstetric haemorrhage | B. Worse with successive pregnancy | C. Previous use of estrogen containing pills is a factor | D. Jaundice is usually a late feature | E. Chlorpheniramine is used for symptom relief	A,B,C,D,E
Regarding Polycystic Ovarian Disease	A. Is otherwise called Stein Leventhal Syndrome | B. LH: FSH ratio is decreased | C. It is associated with anovulatory cycle | D. It is associated with hormonal imbalance | E. It is treated by hormone replacement therapy	A,B,C,D
Preeclampsia	A. Is associated with glomerular endotheliosis | B. Severe preeclampsia can result in liver failure, thrombocytopenia and blindness | C. Is associated with acute arterial atherosis | D. Is associated with lack of trophoblast infiltration of arterial wall | E. Is associated with decreased arterial sensitivity to angiotensin 11	A,B,D,E
